iter	RMSE
0	7.790361916
1	6.799942605
2	5.952321618
3	5.245457306
4	4.615711994
5	4.045049812
6	3.573481032
7	3.166690308
8	2.834921128
9	2.538717994
10	2.335018361
11	2.128178069
12	1.962120805
13	1.839159843
14	1.707519183
15	1.596398479
16	1.495989581
17	1.410454464
18	1.346928113
19	1.284615758
20	1.238354989
21	1.192039327
22	1.144005877
23	1.107354564
24	1.077720995
25	1.044482124
26	1.015153143
27	0.9816000602
28	0.960530672
29	0.9358901829
30	0.9137330049
31	0.892697015
32	0.8760349557
33	0.8649156634
34	0.8511775538
35	0.8411316196
36	0.8285902254
37	0.8138742956
38	0.8004648555
39	0.7875638689
40	0.7782383617
41	0.7676309715
42	0.7576636103
43	0.7478571197
44	0.7371031996
45	0.7232426058
46	0.7130803036
47	0.6992215634
48	0.690173745
49	0.6804686669
50	0.675646517
51	0.6661275853
52	0.6553601414
53	0.6478587234
54	0.6408965035
55	0.6357973427
56	0.6264163428
57	0.6169983576
58	0.6104927114
59	0.6054107182
60	0.6022873855
61	0.5980337473
62	0.5885116663
63	0.5849262754
64	0.5782533523
65	0.5701540478
66	0.5598533906
67	0.5554524776
68	0.54749307
69	0.5374326614
70	0.5345251374
71	0.5301638185
72	0.5247330571
73	0.5234736743
74	0.5159503154
75	0.5125712018
76	0.5096535953
77	0.5024883106
78	0.5011418058
79	0.5000753617
80	0.491314001
81	0.4840571073
82	0.4780992692
83	0.4733960592
84	0.4701782874
85	0.4680106207
86	0.4626281399
87	0.4600571322
88	0.455091943
89	0.4494549105
90	0.445250302
91	0.4429214412
92	0.4391598059
93	0.4380820968
94	0.4363558564
95	0.4357558985
96	0.4340466641
97	0.4287844492
98	0.4254954366
99	0.4200443166
100	0.4163684626
101	0.4142325995
102	0.4076351577
103	0.402238066
104	0.3971189545
105	0.39194473
106	0.3869505045
107	0.385483355
108	0.3827892764
109	0.3782749703
110	0.3774357944
111	0.3770897313
112	0.3749668434
113	0.3717765396
114	0.3713744399
115	0.367719711
116	0.3654320581
117	0.3650955219
118	0.3643298075
119	0.3615663996
120	0.3612707716
121	0.3609080181
122	0.3606523332
123	0.3586255346
124	0.3559275636
125	0.353365208
126	0.3515277549
127	0.3504974248
128	0.3482266873
129	0.342238456
130	0.3401466713
131	0.3371783825
132	0.335735475
133	0.3328036962
134	0.3292856528
135	0.3286927572
136	0.3252933684
137	0.323378683
138	0.3216290701
139	0.3191925171
140	0.3172710152
141	0.3149915169
142	0.3118917681
143	0.3117109568
144	0.311155226
145	0.3083305812
146	0.3065724063
147	0.3048912814
148	0.3031696181
149	0.3004145853
150	0.3001617341
151	0.297138189
152	0.2945069608
153	0.2922608883
154	0.2882954177
155	0.2880522214
156	0.2865180522
157	0.2846063236
158	0.2841521528
159	0.2823087272
160	0.2804542515
161	0.2774314499
162	0.2735459036
163	0.2712490791
164	0.2703975079
165	0.2692444655
166	0.2675978071
167	0.2630157027
168	0.2619278863
169	0.2599592896
170	0.2577299995
171	0.2568815232
172	0.2548800652
173	0.2540260007
174	0.2524119775
175	0.2499939497
176	0.2471167327
177	0.2445406842
178	0.2424558469
179	0.242340179
180	0.2422586865
181	0.2412069035
182	0.2410782902
183	0.2398143112
184	0.2383517096
185	0.2372979375
186	0.2361647228
187	0.2342432133
188	0.2336523417
189	0.2321554315
190	0.2296765375
191	0.2294235398
192	0.2269085219
193	0.2262100099
194	0.2252231753
195	0.2239885641
196	0.2236441763
197	0.2220112329
198	0.2210529634
199	0.2206462139
