iter	Passed	Remaining
0	4	936
1	8	828
2	11	762
3	15	745
4	18	726
5	22	720
6	26	728
7	30	726
8	34	731
9	38	730
10	42	724
11	46	720
12	49	715
13	54	717
14	57	714
15	61	708
16	65	705
17	69	704
18	73	703
19	77	695
20	81	691
21	84	685
22	88	680
23	92	681
24	97	679
25	100	675
26	105	673
27	109	670
28	112	666
29	116	662
30	120	657
31	124	654
32	128	650
33	132	646
34	136	641
35	139	636
36	143	632
37	147	627
38	150	622
39	154	617
40	158	614
41	163	614
42	167	610
43	171	608
44	175	605
45	180	603
46	183	598
47	187	595
48	192	592
49	196	588
50	200	584
51	204	580
52	207	576
53	211	572
54	215	568
55	219	565
56	223	561
57	227	557
58	232	554
59	236	551
60	240	547
61	244	543
62	248	539
63	252	535
64	256	531
65	260	528
66	264	524
67	268	521
68	272	518
69	277	515
70	282	512
71	285	508
72	289	504
73	293	499
74	298	496
75	302	493
76	306	489
77	310	485
78	314	481
79	318	477
80	321	472
81	325	468
82	329	464
83	334	461
84	338	457
85	341	453
86	346	449
87	350	445
88	354	441
89	357	437
90	361	433
91	365	428
92	368	424
93	372	419
94	376	416
95	380	412
96	384	408
97	388	404
98	392	400
99	396	396
100	400	392
101	404	388
102	408	384
103	412	380
104	416	376
105	420	372
106	424	369
107	429	365
108	433	361
109	437	357
110	441	353
111	445	350
112	449	346
113	453	342
114	457	338
115	461	334
116	465	330
117	469	326
118	474	322
119	478	319
120	482	315
121	487	311
122	491	307
123	494	303
124	499	299
125	503	295
126	507	291
127	511	287
128	515	283
129	519	279
130	523	275
131	527	271
132	531	267
133	535	263
134	538	259
135	543	255
136	547	251
137	550	247
138	554	243
139	558	239
140	562	235
141	566	231
142	570	227
143	573	223
144	577	219
145	581	215
146	585	211
147	589	207
148	593	203
149	597	199
150	600	194
151	605	191
152	608	186
153	611	182
154	615	178
155	618	174
156	622	170
157	626	166
158	629	162
159	632	158
160	636	154
161	639	150
162	643	146
163	647	142
164	652	138
165	656	134
166	660	130
167	664	126
168	667	122
169	671	118
170	675	114
171	678	110
172	683	106
173	686	102
174	690	98
175	694	94
176	698	90
177	702	86
178	706	82
179	710	78
180	713	74
181	717	70
182	721	67
183	724	63
184	728	59
185	732	55
186	736	51
187	740	47
188	744	43
189	747	39
190	751	35
191	755	31
192	759	27
193	763	23
194	767	19
195	771	15
196	775	11
197	779	7
198	784	3
199	788	0
