date,co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed,temp_max,temp_min,precipitation,wind_speed_max,humidity_max,city,month,day_of_week,is_weekend,season
2018-03-08 00:00:00+00:00,45000.0,,56.0,,29.5,,83.5,,5.0,,,,,,,,,Bengaluru,3,3,0,Summer
2018-03-09 00:00:00+00:00,43000.0,,46.0,,48.8,,97.8,,5.6,,,,,,,,,Bengaluru,3,4,0,Summer
2018-03-10 00:00:00+00:00,45600.0,,36.2,,53.5,,95.5,,5.6,,,,,,,,,Bengaluru,3,5,1,Summer
2018-03-11 00:00:00+00:00,41000.0,,17.6,,43.7,,69.9,,5.29,,,,,,,,,Bengaluru,3,6,1,Summer
2018-03-12 00:00:00+00:00,24300.0,,12.0,,16.3,,42.3,,6.0,,,,,,,,,Bengaluru,3,0,0,Summer
2018-03-13 00:00:00+00:00,28800.0,,14.3,,21.0,,28.0,,6.0,,,,,,,,,Bengaluru,3,1,0,Summer
2018-03-14 00:00:00+00:00,31600.0,,17.4,,37.2,,53.2,,6.0,,,,,,,,,Bengaluru,3,2,0,Summer
2018-03-15 00:00:00+00:00,31500.0,,37.0,,9.0,,35.5,,5.0,,,,,,,,,Bengaluru,3,3,0,Summer
2018-03-16 00:00:00+00:00,37300.0,,42.7,,15.0,,33.7,,5.0,,,,,,,,,Bengaluru,3,4,0,Summer
2018-03-17 00:00:00+00:00,36800.0,,33.5,,27.0,,37.8,,5.0,,,,,,,,,Bengaluru,3,5,1,Summer
2018-03-18 00:00:00+00:00,28700.0,,14.3,,44.0,,40.3,,5.33,,,,,,,,,Bengaluru,3,6,1,Summer
2018-03-19 00:00:00+00:00,42300.0,,28.3,,52.8,,63.8,,5.0,,,,,,,,,Bengaluru,3,0,0,Summer
2018-03-20 00:00:00+00:00,41800.0,,36.3,,49.8,,85.5,,5.0,,,,,,,,,Bengaluru,3,1,0,Summer
2018-03-21 00:00:00+00:00,36700.0,,32.6,,38.1,,85.7,,5.0,,,,,,,,,Bengaluru,3,2,0,Summer
2018-03-22 00:00:00+00:00,44000.0,,86.1,,22.7,,86.3,,4.43,,,,,,,,,Bengaluru,3,3,0,Summer
2018-03-23 00:00:00+00:00,35400.0,,95.6,,37.8,,97.4,,5.0,,,,,,,,,Bengaluru,3,4,0,Summer
2018-03-24 00:00:00+00:00,28000.0,,24.7,,57.5,,73.8,,5.0,,,,,,,,,Bengaluru,3,5,1,Summer
2018-03-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,3,6,1,Summer
2018-03-26 00:00:00+00:00,88000.0,,,,74.0,,,,,,,,,,,,,Bengaluru,3,0,0,Summer
2018-03-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,3,1,0,Summer
2018-03-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,3,2,0,Summer
2018-03-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,3,3,0,Summer
2018-03-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,3,4,0,Summer
2018-03-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,3,5,1,Summer
2018-04-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,6,1,Summer
2018-04-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,0,0,Summer
2018-04-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,1,0,Summer
2018-04-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,2,0,Summer
2018-04-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,3,0,Summer
2018-04-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,4,0,Summer
2018-04-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,5,1,Summer
2018-04-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,6,1,Summer
2018-04-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,0,0,Summer
2018-04-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,1,0,Summer
2018-04-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,2,0,Summer
2018-04-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,3,0,Summer
2018-04-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,4,0,Summer
2018-04-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,5,1,Summer
2018-04-15 00:00:00+00:00,,,9.59,,,,,,,,,,,,,,,Bengaluru,4,6,1,Summer
2018-04-16 00:00:00+00:00,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,Bengaluru,4,0,0,Summer
2018-04-17 00:00:00+00:00,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,Bengaluru,4,1,0,Summer
2018-04-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,2,0,Summer
2018-04-19 00:00:00+00:00,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,Bengaluru,4,3,0,Summer
2018-04-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,4,0,Summer
2018-04-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,5,1,Summer
2018-04-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,6,1,Summer
2018-04-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,0,0,Summer
2018-04-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,4,1,0,Summer
2018-04-25 00:00:00+00:00,440.0,,24.6,,49.7,,49.7,,5.91,,,,,,,,,Bengaluru,4,2,0,Summer
2018-04-26 00:00:00+00:00,913.0,,18.7,,51.7,,31.1,,5.45,,,,,,,,,Bengaluru,4,3,0,Summer
2018-04-27 00:00:00+00:00,637.0,,24.2,,47.1,,47.3,,6.11,,,,,,,,,Bengaluru,4,4,0,Summer
2018-04-28 00:00:00+00:00,527.0,,28.9,,45.9,,57.9,,6.23,,,,,,,,,Bengaluru,4,5,1,Summer
2018-04-29 00:00:00+00:00,1590.0,,23.9,,48.7,,228.0,,7.87,,,,,,,,,Bengaluru,4,6,1,Summer
2018-04-30 00:00:00+00:00,489.0,,18.4,,49.5,,42.0,,6.55,,,,,,,,,Bengaluru,4,0,0,Summer
2018-05-01 00:00:00+00:00,551.0,,23.7,,41.2,,60.9,,23.6,,,,,,,,,Bengaluru,5,1,0,Summer
2018-05-02 00:00:00+00:00,488.0,,35.4,,47.2,,42.8,,6.43,,,,,,,,,Bengaluru,5,2,0,Summer
2018-05-03 00:00:00+00:00,736.0,,29.3,,43.3,,39.7,,6.72,,,,,,,,,Bengaluru,5,3,0,Summer
2018-05-04 00:00:00+00:00,580.0,,34.4,,38.4,,60.5,,4.3,,,,,,,,,Bengaluru,5,4,0,Summer
2018-05-05 00:00:00+00:00,556.0,,23.3,,44.9,,81.6,,5.94,,,,,,,,,Bengaluru,5,5,1,Summer
2018-05-06 00:00:00+00:00,717.0,,64.6,,31.5,,62.1,,5.39,,,,,,,,,Bengaluru,5,6,1,Summer
2018-05-07 00:00:00+00:00,609.0,,31.5,,32.3,,50.7,,6.67,,,,,,,,,Bengaluru,5,0,0,Summer
2018-05-08 00:00:00+00:00,601.0,,31.6,,56.4,,38.9,,5.85,,,,,,,,,Bengaluru,5,1,0,Summer
2018-05-09 00:00:00+00:00,482.0,,28.7,,39.6,,29.9,,5.22,,,,,,,,,Bengaluru,5,2,0,Summer
2018-05-10 00:00:00+00:00,529.0,,40.4,,23.7,,21.1,,5.46,,,,,,,,,Bengaluru,5,3,0,Summer
2018-05-11 00:00:00+00:00,648.0,,22.6,,40.7,,30.3,,4.47,,,,,,,,,Bengaluru,5,4,0,Summer
2018-05-12 00:00:00+00:00,484.0,,25.7,,46.9,,22.3,,5.46,,,,,,,,,Bengaluru,5,5,1,Summer
2018-05-13 00:00:00+00:00,860.0,,23.8,,31.2,,24.6,,8.08,,,,,,,,,Bengaluru,5,6,1,Summer
2018-05-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,0,0,Summer
2018-05-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,1,0,Summer
2018-05-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,2,0,Summer
2018-05-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,3,0,Summer
2018-05-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,4,0,Summer
2018-05-19 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,5,1,Summer
2018-05-20 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,6,1,Summer
2018-05-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,0,0,Summer
2018-05-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,1,0,Summer
2018-05-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,2,0,Summer
2018-05-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,3,0,Summer
2018-05-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,4,0,Summer
2018-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,5,1,Summer
2018-05-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,6,1,Summer
2018-05-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,0,0,Summer
2018-05-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,1,0,Summer
2018-05-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,Bengaluru,5,2,0,Summer
