timestamp,parameter,value
"Datetime(utc='2025-02-18T19:30:00Z', local='2025-02-19T01:00:00+05:30')",so2,22.8
"Datetime(utc='2025-02-18T20:30:00Z', local='2025-02-19T02:00:00+05:30')",so2,21.8
"Datetime(utc='2025-02-18T21:30:00Z', local='2025-02-19T03:00:00+05:30')",so2,33.8
"Datetime(utc='2025-02-18T22:30:00Z', local='2025-02-19T04:00:00+05:30')",so2,29.9
"Datetime(utc='2025-02-18T23:30:00Z', local='2025-02-19T05:00:00+05:30')",so2,14.7
"Datetime(utc='2025-02-19T00:30:00Z', local='2025-02-19T06:00:00+05:30')",so2,18.0
"Datetime(utc='2025-02-19T01:30:00Z', local='2025-02-19T07:00:00+05:30')",so2,17.8
"Datetime(utc='2025-02-19T02:30:00Z', local='2025-02-19T08:00:00+05:30')",so2,31.7
"Datetime(utc='2025-02-19T03:30:00Z', local='2025-02-19T09:00:00+05:30')",so2,27.5
"Datetime(utc='2025-02-19T04:30:00Z', local='2025-02-19T10:00:00+05:30')",so2,4.1
"Datetime(utc='2025-02-19T05:30:00Z', local='2025-02-19T11:00:00+05:30')",so2,0.453
"Datetime(utc='2025-02-19T06:30:00Z', local='2025-02-19T12:00:00+05:30')",so2,0.293
"Datetime(utc='2025-02-19T07:30:00Z', local='2025-02-19T13:00:00+05:30')",so2,3.2
"Datetime(utc='2025-02-19T08:30:00Z', local='2025-02-19T14:00:00+05:30')",so2,8.84
"Datetime(utc='2025-02-19T09:30:00Z', local='2025-02-19T15:00:00+05:30')",so2,27.0
"Datetime(utc='2025-02-19T10:30:00Z', local='2025-02-19T16:00:00+05:30')",so2,31.3
"Datetime(utc='2025-02-19T11:30:00Z', local='2025-02-19T17:00:00+05:30')",so2,17.6
"Datetime(utc='2025-02-19T12:30:00Z', local='2025-02-19T18:00:00+05:30')",so2,18.2
"Datetime(utc='2025-02-19T13:30:00Z', local='2025-02-19T19:00:00+05:30')",so2,25.6
"Datetime(utc='2025-02-19T14:30:00Z', local='2025-02-19T20:00:00+05:30')",so2,31.0
"Datetime(utc='2025-02-19T15:30:00Z', local='2025-02-19T21:00:00+05:30')",so2,15.7
"Datetime(utc='2025-02-19T16:30:00Z', local='2025-02-19T22:00:00+05:30')",so2,12.7
"Datetime(utc='2025-02-19T17:30:00Z', local='2025-02-19T23:00:00+05:30')",so2,28.0
